energy,hermitian_transmission,reflection,unitarity_error,breit_wigner_1,breit_wigner_2,breit_wigner_3,breit_wigner_4,breit_wigner_5
0.35,2.530050223921e-10,0.9999999997537,6.70508093492117e-12,4.62376421091905e-08,0.00024982357032074,0.0144569766946301,0.0919934417902694,0.217956444636247
0.35165625,2.64689555436074e-10,0.999999999739115,3.80473430539041e-12,4.68081016696753e-08,0.000250672366628836,0.0144899317010502,0.0921495689864986,0.218224835506811
0.3533125,2.76928423907007e-10,0.999999999709138,1.3934076115163e-11,4.73891838409346e-08,0.000251525495716812,0.0145229989637929,0.0923060804862142,0.218493676193173
0.35496875,2.89748931943565e-10,0.999999999704825,5.42588196594807e-12,4.79811540096232e-08,0.000252382987122008,0.0145561789907306,0.0924629775042246,0.218762967576345
0.356625,3.03179793852251e-10,0.999999999698701,1.88027371450517e-12,4.85842859022125e-08,0.000253244870633873,0.0145894722925961,0.0926202612599306,0.219032710539059
0.35828125,3.17251211187791e-10,0.999999999685189,2.43982611891624e-12,4.91988619014739e-08,0.000254111176296554,0.0146228793830025,0.0927779329773456,0.219302905965768
0.3599375,3.31994954273761e-10,0.99999999967883,1.08246744900953e-11,4.98251733770647e-08,0.000254981934411511,0.0146564007784619,0.092935993885115,0.219573554742651
0.36159375,3.4744444845035e-10,0.999999999647443,5.11224396149146e-12,5.0463521030936e-08,0.000255857175540168,0.0146900369984056,0.0930944452165366,0.219844657757613
0.36325,3.63634865492379e-10,0.99999999964216,5.79514214393839e-12,5.11142152583297e-08,0.000256736930506589,0.0147237885652033,0.09325328820958,0.220116215900286
0.36490625,3.8060322028118e-10,0.999999999614328,5.06894526353108e-12,5.17775765251724e-08,0.000257621230400199,0.0147576560041833,0.0934125241069071,0.220388230062034
0.3665625,3.98388473336824e-10,0.999999999595868,5.74340575099086e-12,5.24539357627234e-08,0.00025851010657852,0.0147916398436525,0.0935721541558919,0.220660701135952
0.36821875,4.1703163932457e-10,0.999999999578133,4.83535433914994e-12,5.31436347803841e-08,0.00025940359066996,0.0148257406149163,0.0937321796086412,0.220933630016871
0.369875,4.36575902111502e-10,0.999999999564092,6.68354260824344e-13,5.3847026697631e-08,0.000260301714576616,0.0148599588522992,0.0938926017220145,0.221207017601355
0.37153125,4.5706673673666e-10,0.999999999548935,6.00164362651867e-12,5.45644763960897e-08,0.00026120451047713,0.0148942950931653,0.094053421757645,0.221480864787709
