resonance,energy,part3_absT2,bw_theta_0.05,bw_theta_0.10,bw_theta_0.15,bw_theta_0.20,bw_theta_0.25
1,0.6204703037,0.013274533056264,0.0133631221401702,0.0133639000012152,0.0133638883587291,0.0133638707038998,0.0133639369087661
1,0.620470859564369,0.0133037400341547,0.0133924474480194,0.0133932270246837,0.0133932153545366,0.0133931976650637,0.013393264015153
1,0.620471415428738,0.0133329470120454,0.0134218689545719,0.0134226502524859,0.0134226385545806,0.0134226208303643,0.0134226873261507
1,0.620471971293107,0.0133621539899361,0.0134513870791059,0.0134521701039243,0.0134521583781629,0.0134521406191034,0.0134522072610629
1,0.620472527157476,0.0133914156804187,0.0134810022431754,0.0134817870005774,0.0134817752468619,0.0134817574528588,0.0134818242414694
1,0.620473083021845,0.0134215018749043,0.0135107148706252,0.0135115013663149,0.0135114895845465,0.0135114717554991,0.0135115386912411
1,0.620473638886215,0.0134515880693899,0.0135405253876057,0.013541313627312,0.0135413018173917,0.0135412839531988,0.0135413510365544
1,0.620474194750584,0.0134816742638755,0.0135704342225881,0.0135712242120646,0.0135712123738928,0.0135711944744531,0.0135712617059065
1,0.620474750614953,0.0135117604583611,0.0136004418063791,0.0136012335514048,0.0136012216848814,0.013601203750093,0.0136012711301307
1,0.620475306479322,0.0135418466528468,0.0136305485721364,0.0136313420785154,0.01363133018354,0.0136313122133007,0.0136313797424112
1,0.620475862343691,0.0135719328473324,0.0136607549553841,0.0136615502289458,0.0136615383054174,0.0136615202996246,0.0136615879782986
1,0.62047641820806,0.013602019041818,0.0136910613940279,0.0136918584406273,0.0136918464884446,0.0136918284469952,0.0136918962757255
1,0.620476974072429,0.0136321052363036,0.0137214683283708,0.0137222671538887,0.0137222551729496,0.0137222370957403,0.0137223050750218
1,0.620477529936798,0.0136622477768013,0.013751976201135,0.0137527768114778,0.0137527648016799,0.013752746688607,0.0137528148189368
1,0.620478085801167,0.0136932486285829,0.0137825854574533,0.0137833878585532,0.0137833758197938,0.0137833576707531,0.0137834259526304
1,0.620478641665536,0.0137242494803645,0.0138132965449212,0.0138141007427368,0.0138140886749123,0.0138140704897993,0.0138141389237256
1,0.620479197529906,0.0137552503321462,0.0138441099135891,0.013844915914105,0.0138449038171117,0.0138448855958215,0.0138449541823004
1,0.620479753394275,0.0137862511839278,0.0138750260159843,0.0138758338252115,0.0138758216989451,0.0138758034413723,0.0138758721809097
1,0.620480309258644,0.0138172520357094,0.0139060453071275,0.0139068549311034,0.0139068427754591,0.013906824481498,0.0139068933746019
1,0.620480865123013,0.013848252887491,0.0139371682445488,0.0139379796893376,0.01393796750421,0.0139379491737545,0.0139380182209352
1,0.620481420987382,0.0138792537392727,0.0139683952883047,0.0139692085599973,0.0139691963452807,0.0139691779782242,0.0139692471799942
1,0.620481976851751,0.0139102545910543,0.0139997269009946,0.0140005420057087,0.0140005297612967,0.0140005113575324,0.0140005807144066
1,0.62048253271612,0.0139413134879215,0.0140311635477773,0.014031980491658,0.0140319682174438,0.0140319497768644,0.0140320192893597
1,0.620483088580489,0.0139732662415361,0.0140627056963886,0.014063524485608,0.0140635121814843,0.014063493703982,0.0140635633726178
1,0.620483644444858,0.0140052189951506,0.0140943538171577,0.0140951744579154,0.0140951621237743,0.014095143609241,0.0140952134345389
1,0.620484200309227,0.0140371717487652,0.0141261083830249,0.0141269308815479,0.0141269185172811,0.0141268999656082,0.0141269699480921
1,0.620484756173596,0.0140691245023797,0.0141579698695584,0.0141587942321014,0.0141587818376001,0.0141587632486787,0.0141588333888748
1,0.620485312037966,0.0141010772559943,0.0141899387549722,0.0141907649878178,0.0141907525629726,0.0141907339366933,0.0141908042351303
1,0.620485867902335,0.0141330300096088,0.0142220155201436,0.0142228436296024,0.0142228311743033,0.0142228125105564,0.0142228829677651
1,0.620486423766704,0.0141649827632234,0.0142542006486307,0.0142550306410413,0.014255018155178,0.0142549994538533,0.014255070070367
1,0.620486979631073,0.0141969355168379,0.0142864946266905,0.01428732650842,0.0142873139918815,0.0142872952528683,0.0142873660292226
1,0.620487535495442,0.01422894808219,0.0143188979432968,0.0143197317207406,0.0143197191734155,0.0143197003966028,0.0143197713333357
1,0.620488091359811,0.0142618918736776,0.0143514110901585,0.0143522467697406,0.0143522341915168,0.0143522153767932,0.0143522864744451
1,0.62048864722418,0.0142948356651652,0.0143840345617375,0.0143848721499108,0.0143848595406758,0.0143848406879294,0.0143849119470431
1,0.620489203088549,0.0143277794566528,0.0144167688552675,0.0144176083585138,0.0144175957181545,0.014417576827273,0.0144176482483937
1,0.620489758952918,0.0143607232481404,0.0144496144707725,0.0144504558956026,0.0144504432240054,0.0144504242948761,0.0144504958785514
1,0.620490314817287,0.0143936670396281,0.0144825719110855,0.0144834152640393,0.01448340256109,0.0144833835935998,0.0144834553403799
1,0.620490870681656,0.0144266108311157,0.014515641681867,0.0145164869695142,0.0145164742350981,0.0145164552291332,0.0145165271395707
1,0.620491426546026,0.0144595546226033,0.0145488242916246,0.0145496715205642,0.014549658754566,0.0145496397100126,0.0145497117846625
1,0.620491982410395,0.0144924984140975,0.0145821202517385,0.0145829694285994,0.0145829566309032,0.0145829375476468,0.0145830097870665
1,0.620492538274764,0.0145255038564308,0.0146155300764541,0.0146163812078949,0.0146163683783844,0.0146163492563101,0.0146164216610597
1,0.620493094139133,0.014559479854514,0.0146490542829415,0.0146499073756511,0.0146498945142093,0.0146498753532017,0.0146499479238438
1,0.620493650003502,0.0145934558525973,0.0146826933912886,0.0146835484519859,0.0146835355584953,0.0146835163584387,0.0146835890955383
1,0.620494205867871,0.0146274318506806,0.0147164479245271,0.0147173049599618,0.0147172920343042,0.0147172727950824,0.0147173456992071
1,0.62049476173224,0.0146614078487638,0.0147503184086531,0.014751177425605,0.014751164467662,0.0147511451891582,0.0147512182608782
