energy,part3_absT2,breit_wigner_E1,breit_wigner_E2,breit_wigner_E3,breit_wigner_E4,breit_wigner_E5
0.002,7.4968277876108e-16,8.86124066673993e-09,0.000135858302887243,0.00941124563687943,0.0661314421159391,0.170294397361205
0.00336334697589814,1.29518058119391e-15,8.90040559802285e-09,0.000136138235553754,0.00942552205847128,0.0662108546582824,0.170451526597316
0.00472669395179627,1.86998996289559e-15,8.93983075615054e-09,0.000136419034264515,0.00943983088637383,0.0662904069390693,0.1706088584854
0.00609004092769441,2.47535242722461e-15,8.97951845163548e-09,0.000136700702595493,0.00945417221842543,0.0663700992779966,0.170766393344621
0.00745338790359254,3.11255729202867e-15,9.01947102069054e-09,0.000136983244141131,0.00946854615283274,0.0664499319956499,0.170924131494699
0.00881673487949068,3.78294344700296e-15,9.05969082557277e-09,0.000137266662514462,0.00948295278817236,0.0665299054135065,0.171082073255905
0.0101800818553888,4.48790117415741e-15,9.10018025493257e-09,0.000137550961347222,0.00949739222339254,0.0666100198539385,0.171240218949069
0.0115434288312869,5.22887403243002e-15,9.14094172416842e-09,0.00013783614428997,0.00951186455781484,0.0666902756402152,0.171398568895576
0.0129067758071851,6.00736081205118e-15,9.18197767578703e-09,0.000138122215012205,0.00952636989113579,0.0667706730965069,0.171557123417369
0.0142701227830832,6.82491755610011e-15,9.22329057976931e-09,0.000138409177202481,0.00954090832342865,0.0668512125478866,0.17171588283695
0.0156334697589814,7.68315965766636e-15,9.26488293394203e-09,0.000138697034568527,0.00955547995514504,0.0669318943203341,0.17187484747738
0.0169968167348795,8.58376402956543e-15,9.30675726435537e-09,0.000138985790837369,0.0095700848871167,0.0670127187407381,0.172034017662279
0.0183601637107776,9.52847135238467e-15,9.34891612566651e-09,0.000139275449755448,0.0095847232205572,0.0670936861368996,0.172193393715832
0.0197235106866758,1.05190884043239e-14,9.39136210152922e-09,0.000139566015088742,0.00959939505706365,0.0671747968375345,0.172352975962781
0.0210868576625739,1.15574904709706e-14,9.43409780498976e-09,0.000139857490622891,0.00961410049861847,0.067256051172277,0.172512764728437
0.022450204638472,1.26456238458684e-14,9.47712587888901e-09,0.000140149880163316,0.00962883964759113,0.0673374494716822,0.17267276033867
0.0238135516143702,1.37855084181276e-14,9.52044899627108e-09,0.000140443187535345,0.0096436126067399,0.0674189920672292,0.172832963119918
