label,status,pole_real,pole_imag,breit_wigner_width_Gamma,lifetime_hbar_over_Gamma,part3_peak_energy,pole_real_minus_part3_peak,tracked_theta_count,eligible_theta_count,tracked_thetas,max_track_deviation,continuum_clearance_at_max_theta
E1,stable,0.620970951143998,-5.82663127411239e-05,0.000116532625482248,8581.28782271654,0.6209703037,6.47443998302855e-07,5,5,0.05;0.10;0.15;0.20;0.25,1.8300440304132e-09,0.297658198776818
E2,stable,1.32719707555366,-0.0154473172028757,0.0308946344057513,32.3680800642147,1.3288237771,-0.00162670154634204,5,5,0.05;0.10;0.15;0.20;0.25,1.72475470107873e-08,0.622735873371101
E3,stable,1.78458286885326,-0.17375070932199,0.34750141864398,2.87768609377826,,,4,4,0.10;0.15;0.20;0.25,1.17439770840698e-09,0.703094009955689
E4,stable,2.12437798187581,-0.564785907168397,1.12957181433679,0.885291211508433,,,3,3,0.15;0.20;0.25,0.000134512451556841,0.522847883943423
E5,provisional,2.45548627567658,-1.1115315686615,2.223063137323,0.449829779105687,,,1,1,0.25,0,0.20176210860349
