energy,hermitian_transmission,reflection,unitarity_error,breit_wigner_1,breit_wigner_2,breit_wigner_3,breit_wigner_4,breit_wigner_5
0.002,7.49135913052294e-16,0.999999999943921,5.60781421299339e-11,8.86136511667787e-09,0.000135858336794736,0.00941124566299863,0.0661308709086365,0.170294397361207
0.00387375,1.50587302257358e-15,1.00000000010603,1.06035402680504e-10,8.91526000009736e-09,0.000136243291962407,0.00943087515178124,0.0662400463167529,0.170510403973401
0.0057475,2.31890592960852e-15,1.00000000008044,8.0437434490932e-11,8.96964806648117e-09,0.000136629885534512,0.00945056592221698,0.0663494858909014,0.170726793601909
0.00762125,3.19152821129646e-15,1.00000000006639,6.63913368725844e-11,9.02453535161395e-09,0.000137018126821429,0.00947031822883755,0.0664591904622749,0.170943567076109
0.009495,4.12720869280673e-15,1.00000000001242,1.24222854225309e-11,9.07992798389929e-09,0.000137408025199765,0.00949013232749317,0.0665691608652449,0.171160725227359
0.01136875,5.12960042513256e-15,1.00000000002839,2.83948420332081e-11,9.13583218607049e-09,0.000137799590112916,0.00951000847536076,0.0666793979373764,0.171378268889001
0.0132425,6.2025498861753e-15,1.00000000000556,5.56310553179173e-12,9.19225427693824e-09,0.000138192831071641,0.00952994693095223,0.0667899025194413,0.171596198896362
0.01511625,7.35010680712046e-15,0.999999999916426,8.35662650189306e-11,9.24920067317623e-09,0.000138587757654639,0.00954994795412269,0.0669006754554331,0.171814516086766
0.01699,8.57653441184344e-15,1.00000000006718,6.71900313164997e-11,9.30667789114558e-09,0.000138984379509134,0.00957001180607886,0.0670117175925812,0.172033221299529
0.01886375,9.88632032501057e-15,1.0000000000682,6.82149892128336e-11,9.36469254875913e-09,0.000139382706351458,0.0095901387493875,0.0671230297813653,0.172252315375971
0.0207375,1.12841879821028e-14,1.00000000001681,1.68183245108366e-11,9.42325136738644e-09,0.000139782747967656,0.00961032904798385,0.0672346128755295,0.172471799159419
0.02261125,1.27751085254305e-14,1.00000000000203,2.04058991926104e-12,9.48236117380068e-09,0.000140184514214075,0.00963058296718017,0.0673464677320974,0.172691673495208
0.024485,1.43643132208982e-14,0.999999999998602,1.38344891098541e-12,9.54202890216838e-09,0.000140588015017984,0.00965090077367438,0.0674585952113865,0.172911939230689
0.02635875,1.60573065249812e-14,0.99999999999996,2.38697950294409e-14,9.60226159608315e-09,0.000140993260378173,0.00967128273555868,0.0675709961770228,0.173132597215233
0.0282325,1.78598797436308e-14,0.999999999999311,6.71573907595757e-13,9.66306641064443e-09,0.000141400260365587,0.00969172912232831,0.0676836714959558,0.173353648300234
0.03010625,1.97781255014799e-14,0.999999999998596,1.3837819778928e-12,9.72445061458253e-09,0.000141809025123938,0.0097122402048903,0.0677966220384729,0.173575093339116
0.03198,2.18184528884708e-14,1.00000000001144,1.14606102386006e-11,9.786421592431e-09,0.000142219564870348,0.00973281625557238,0.0679098486782147,0.173796933187336
0.03385375,2.3987603556975e-14,0.999999999997333,2.6434410216325e-12,9.84898684674764e-09,0.000142631889895978,0.00975345754813185,0.0680233522921902,0.174019168702386
0.0357275,2.62926683132631e-14,1.00000000000724,7.26840809761597e-12,9.91215400038539e-09,0.000143046010566682,0.00977416435776459,0.0681371337607911,0.174241800743804
0.03760125,2.874110483215e-14,0.999999999990865,9.106160270278e-12,9.97593079881429e-09,0.00014346193732365,0.00979493696111409,0.0682511939678077,0.174464830173174
0.039475,3.1340755863339e-14,1.00000000001008,1.01085806392121e-11,1.0040325112496e-08,0.000143879680684071,0.00981577563628061,0.0683655338004437,0.17468825785413
0.04134875,3.40998685500021e-14,0.999999999980237,1.97285521252866e-11,1.01053449393119e-08,0.000144299251241797,0.00983668066283028,0.0684801541493317,0.174912084652362
0.0432225,3.70271145298863e-14,1.00000000000715,7.18736181681834e-12,1.01709984070469e-08,0.000144720659668014,0.00985765232180445,0.0685950559085484,0.175136311435623
0.04509625,4.01316111088922e-14,1.00000000000316,3.19988480157463e-12,1.02372937759294e-08,0.000145143916711918,0.00987869089572894,0.06871023997563,0.175360939073728
0.04697,4.34229434805088e-14,1.00000000005497,5.50182122083243e-11,1.03042394412294e-08,0.000145569033201406,0.00989979666862344,0.0688257072515881,0.175585968438565
0.04884375,4.69111881474886e-14,1.00000000003871,3.87527787637509e-11,1.03718439359169e-08,0.000145996020043763,0.00992096992601098,0.0689414586409249,0.175811400404094
0.0507175,5.06069374393524e-14,0.999999999987633,1.23165921905866e-11,1.04401159333807e-08,0.000146424888226365,0.00994221095492745,0.0690574950516491,0.176037235846354
0.05259125,5.45213254690236e-14,1.00000000000338,3.43192141372128e-12,1.05090642502106e-08,0.000146855648817382,0.00996352004393119,0.0691738173952916,0.17626347564347
