label,state_index_zero_based,state_number_one_based,energy,target_energy,energy_difference,finite_grid_norm,barrier_half_width_sqrt_11p6,central_probability_barrier_window,central_probability_abs_x_le_12,parity_expectation
bound state,0,1,-0.297959637856474,,,1,3.40587727318528,0.999955049113525,0.999999999998278,1
first resonance,67,68,0.620972220434375,0.6209703027,1.91773437507869e-06,1,3.40587727318528,0.991950742798969,0.995442661911191,-1
second resonance,100,101,1.33028104932414,1.3288239467,0.00145710262414145,1,3.40587727318528,0.489653349902919,0.558087685045372,1
