E,T_real,T_imag,R_real,R_imag,absT2,absR2,unitarity_error
0.002,2.0229547743356288e-08,1.845123781377143e-08,-0.6738864734387442,0.7388349077544318,7.4968277876108e-16,1.000000000000207,2.0761170560490427e-13
0.0033633469758981354,3.169997171228624e-08,1.7037968618182327e-08,-0.47342659587166036,0.8808332749857496,1.2951805811939133e-15,1.0000000000007496,7.509548538564559e-13
0.004726693951796271,4.1389855649453875e-08,1.2524767950463617e-08,-0.2896343390926588,0.9571373723880146,1.8699899628955895e-15,1.000000000003474,3.47588624549644e-12
0.006090040927694407,4.9383407570643006e-08,6.052394892632761e-09,-0.12164905402071544,0.9925731749673541,2.475352427224608e-15,1.0000000000089089,8.911316129456281e-12
0.0074533879035925425,5.5762865110872326e-08,-1.7493332030585665e-09,0.03135550951159019,0.9995082951260568,3.1125572920286658e-15,1.0000000000025278,2.530864406935507e-12
0.008816734879490678,6.06085352566154e-08,-1.046656108999364e-08,0.1701723860102646,0.9854143083197625,3.78294344700296e-15,1.0000000000017426,1.7463808177353712e-12
0.010180081855388814,6.399883299483205e-08,-1.980026639863726e-08,0.29556254053974396,0.9553233927003244,4.487901174157407e-15,1.000000000010766,1.0770495606493569e-11
0.011543428831286949,6.601031890406642e-08,-2.9521379212588758e-08,0.4082559789480487,0.9128674907421992,5.2288740324300176e-15,1.0000000000007887,7.94031507211912e-13
0.012906775807185085,6.67177357435963e-08,-3.944749103934026e-08,0.508952822997695,0.8607944144627361,6.007360812051176e-15,1.0000000000075677,7.573719429387893e-12
0.014270122783083221,6.619404403584917e-08,-4.942940511760352e-08,0.5983243518102033,0.8012539984498158,6.824917556100106e-15,1.0000000000009175,9.243716903029053e-13
0.015633469758981354,6.45104567107572e-08,-5.934273866814606e-08,0.677014010226776,0.7359701284371502,7.683159657666356e-15,0.9999999999951366,4.855782442803047e-12
0.016996816734879492,6.173647280837865e-08,-6.908235632016149e-08,0.7456383853308763,0.6663508072479984,8.583764029565431e-15,0.9999999999988956,1.095901147607492e-12
