energy,part3_absT2,breit_wigner_E1,breit_wigner_E2,breit_wigner_E3,breit_wigner_E4,breit_wigner_E5
0.002,7.4968277876108e-16,8.86136511631185e-09,0.00013585833679461,0.00941124566299942,0.066130870908634,0.170294397361205
0.00336334697589814,1.29518058119391e-15,8.90053059764704e-09,0.000136138269531659,0.00942552208463656,0.0662102811693489,0.170451526597316
0.00472669395179627,1.86998996289559e-15,8.93995630948183e-09,0.000136419068313178,0.00943983091258453,0.0662898311617146,0.1706088584854
0.00609004092769441,2.47535242722461e-15,8.97964456236115e-09,0.000136700736715136,0.00945417224468167,0.0663695212054061,0.170766393344621
0.00745338790359254,3.11255729202867e-15,9.01959769253067e-09,0.000136983278331976,0.00946854617913462,0.0664493516209869,0.170924131494699
0.00881673487949068,3.78294344700296e-15,9.05981806228062e-09,0.000137266696776731,0.00948295281452001,0.0665293227299126,0.171082073255905
0.0101800818553888,4.48790117415741e-15,9.10030806029497e-09,0.00013755099568114,0.00949739224978607,0.066609434854533,0.171240218949069
0.0115434288312869,5.22887403243002e-15,9.14107010200609e-09,0.000137836178695762,0.00951186458425436,0.0666896883180956,0.171398568895576
0.0129067758071851,6.00736081205118e-15,9.18210662995503e-09,0.000138122249490097,0.00952636991762144,0.0667700834447481,0.171557123417369
0.0142701227830832,6.82491755610011e-15,9.22342011415736e-09,0.000138409211752699,0.00954090834996053,0.0668506205595415,0.17171588283695
0.0156334697589814,7.68315965766636e-15,9.26501305247495e-09,0.000138697069191299,0.00955547998172327,0.0669312999884331,0.17187484747738
0.0169968167348795,8.58376402956543e-15,9.30688797099346e-09,0.000138985825532924,0.00957008491374141,0.0670121220582892,0.172034017662279
0.0183601637107776,9.52847135238467e-15,9.34904742440594e-09,0.000139275484524015,0.00958472324722849,0.0670930870968882,0.172193393715832
0.0197235106866758,1.05190884043239e-14,9.39149399640246e-09,0.000139566049930553,0.00959939508378166,0.0671741954329235,0.172352975962781
0.0210868576625739,1.15574904709706e-14,9.43423030006596e-09,0.000139857525538177,0.00961410052538331,0.0672554473960065,0.172512764728437
0.022450204638472,1.26456238458684e-14,9.47725897827445e-09,0.000140149915152309,0.00962883967440293,0.0673368433166696,0.17267276033867
0.0238135516143702,1.37855084181276e-14,9.52058270410959e-09,0.000140443222598279,0.00964361263359877,0.0674183835263691,0.172832963119918
0.0251768985902683,1.49792403507189e-14,9.56420418127189e-09,0.000140737451721449,0.00965841950611968,0.0675000683574884,0.172993373399184
0.0265402455661664,1.62289948585901e-14,9.60812614450247e-09,0.000141032606387341,0.00967326039550684,0.0675818981433404,0.173153991504037
