energy,transmission,reflection,unitarity_error
0.1,2.7583305124e-13,1,4.06030764566e-12
0.101933333333,2.92743513859e-13,1,3.79696274422e-13
0.103866666667,3.10589442914e-13,1.00000000001,7.5515149689e-12
0.1058,3.29420229374e-13,1,4.85878004497e-12
0.107733333333,3.49287815268e-13,0.999999999995,4.54059012611e-12
0.109666666667,3.70246824756e-13,0.999999999996,3.15514281368e-12
0.1116,3.92354701934e-13,0.999999999993,6.99218460909e-12
0.113533333333,4.15671855714e-13,1,1.77902137466e-12
0.115466666667,4.40261812034e-13,0.999999999995,4.85789186655e-12
0.1174,4.66191373934e-13,0.999999999998,1.79978254522e-12
0.119333333333,4.93530789645e-13,0.999999999999,5.45119505091e-14
0.121266666667,5.22353929315e-13,1,5.31574784191e-13
0.1232,5.52738470839e-13,1,1.75859327101e-13
0.125133333333,5.84766095119e-13,0.999999999999,1.49547041417e-13
0.127066666667,6.18522691485e-13,1,1.19859677739e-12
0.129,6.54098573754e-13,1,2.89768209427e-13
0.130933333333,6.9158870756e-13,0.999999999994,5.05051556132e-12
0.132866666667,7.31092949532e-13,0.999999999997,1.85240711659e-12
0.1348,7.72716299033e-13,0.999999999997,2.67319499869e-12
0.136733333333,8.165691631e-13,0.999999999986,1.33001387681e-11
0.138666666667,8.62767635378e-13,1,3.25872662188e-12
0.1406,9.11433789392e-13,1,5.57354162822e-12
0.142533333333,9.62695987724e-13,1,2.75246492265e-12
0.144466666667,1.01668920682e-12,1,8.2911455479e-13
0.1464,1.07355537896e-12,1,3.83315601482e-12
0.148333333333,1.13344375216e-12,1.00000000001,1.18769438728e-11
0.150266666667,1.1965112685e-12,1,2.14384066055e-12
0.1522,1.26292296255e-12,1.00000000001,1.41473499582e-11
0.154133333333,1.33285237993e-12,0.999999999996,2.57227572575e-12
0.156066666667,1.40648201822e-12,1.00000000001,1.07140962768e-11
0.158,1.48400379028e-12,1,2.47335485426e-12
0.159933333333,1.56561951229e-12,0.99999999999,8.14770473312e-12
0.161866666667,1.65154141692e-12,1.00000000001,1.381472714e-11
0.1638,1.74199269354e-12,0.999999999976,2.25852669899e-11
0.165733333333,1.83720805729e-12,1,3.24229532112e-12
