label,global_state_index,energy,parity,target_energy,delta_energy,central_localization_fraction,c_norm,coordinate_norm
Bound state,0,-0.297959637858049,even,,,0.999956025538756,1,0.999999999999999
First resonance,67,0.620972220418669,odd,0.62097030266192,1.91775674873718e-06,0.991993356017779,1,1
Second resonance,100,1.33028104929029,even,1.32882394672,0.0014571025702903,0.489993585791161,0.999999999999999,0.999999999999999
