profile,basis_size_J,box_length_L,quadrature_points_N,bound_energy,first_state_index,first_energy,first_energy_minus_part3,first_barrier_probability,first_wide_probability_abs_x_le_12,second_state_index,second_energy,second_energy_minus_part3,second_barrier_probability,second_wide_probability_abs_x_le_12
baseline,2000,200.0,10000,-0.297959637857992,67,0.620972220418748,1.91771874780144e-06,0.991950752179543,0.995442661812222,100,1.33028104929024,0.00145710259023746,0.489653350406523,0.558087678569536
smaller_J,600,200.0,4001,-0.297959637858034,67,0.620972220418715,1.91771871493884e-06,0.991950752179695,0.995442661812353,100,1.33028104929028,0.00145710259027787,0.489653350406802,0.558087678569689
shorter_L,600,160.0,4001,-0.297959637858038,53,0.620990125867881,1.98231678807392e-05,0.99266692260293,0.996094962038958,80,1.3429751040639,0.0141511573639002,0.402923552039814,0.47814414409239
