label,state_index_zero_based,state_number_one_based,energy,target_energy,energy_difference,finite_grid_norm,barrier_half_width_sqrt_11p6,central_probability_barrier_window,central_probability_abs_x_le_12,parity_expectation
bound state,0,1,-0.297959637857992,,,1,3.40587727318528,0.999955049188849,0.999999999998313,1
first resonance,67,68,0.620972220418748,0.6209703027,1.91771874780144e-06,1,3.40587727318528,0.991950752179543,0.995442661812222,-1
second resonance,100,101,1.33028104929024,1.3288239467,0.00145710259023746,1,3.40587727318528,0.489653350406523,0.558087678569536,1
