state_index_zero_based,energy
0,-0.297959637858031
1,0.000565401100621409
2,0.000565401105783995
3,0.00226143444665342
4,0.00226143446764955
5,0.00508759173138685
6,0.00508759177996733
7,0.00904303096471348
8,0.00904303105450364
9,0.0141265842013221
10,0.0141265843488349
11,0.0203367682492602
12,0.0203367684751461
13,0.0276717982380524
14,0.0276717985687491
15,0.0361296038788072
16,0.0361296043488148
17,0.0457078481939201
18,0.0457078488487798
19,0.0564039484326434
