label,status,pole_real,pole_imag,breit_wigner_width_Gamma,lifetime_hbar_over_Gamma,part3_peak_energy,pole_real_minus_part3_peak,tracked_theta_count,eligible_theta_count,tracked_thetas,max_track_deviation,continuum_clearance_at_max_theta
E1,stable,0.62097095098986,-5.82667218788172e-05,0.000116533443757634,8581.22756656702,0.6209703037,6.47289859934119e-07,5,5,0.05;0.10;0.15;0.20;0.25,1.8300440304132e-09,0.297658198776818
E2,stable,1.32719707232902,-0.0154473190932113,0.0308946381864227,32.3680761032338,1.3288237771,-0.00162670477098459,5,5,0.05;0.10;0.15;0.20;0.25,1.72475470107873e-08,0.622735873371101
E3,stable,1.78458286809809,-0.173750709491788,0.347501418983576,2.87768609096605,,,4,4,0.10;0.15;0.20;0.25,1.17439770840698e-09,0.703094009955689
E4,stable,2.12442189106119,-0.564794979897362,1.12958995979472,0.885276990406082,,,2,2,0.20;0.25,3.29332372308016e-09,0.522847883943423
E5,provisional,2.45548627567658,-1.1115315686615,2.223063137323,0.449829779105687,,,1,1,0.25,0,0.20176210860349
