quantity,value
Emin,1.248814
E0,1.328814
Emax,1.408814
pmin,1.5803885598168572
p0,1.6302232975884008
pmax,1.6785791610764147
alpha,0.00024198913600000002
Delta_p,0.015556
x0,-48.90669892765202
