quantity,value
Emin,0.8
E0,1.0
Emax,1.2
pmin,1.2649110640673518
p0,1.4142135623730951
pmax,1.5491933384829668
alpha,0.002449953009
Delta_p,0.049497
x0,-35.35533905932738
