quantity,value
Emin,1.3278237771
E0,1.3288237771
Emax,1.3298237770999999
pmin,1.6296157688854143
p0,1.63022929497663
pmax,1.630842590258177
alpha,3.1328999999999996e-08
Delta_p,0.000177
x0,-8966.261122371465
