quantity,value
Emin,2.5
E0,2.7
Emax,2.9
pmin,2.23606797749979
p0,2.32379000772445
pmax,2.4083189157584592
alpha,0.0007219969000000001
Delta_p,0.02687
x0,-11.618950038622252
