resonance,real_energy,imag_energy,gamma,first_exposed_theta,supporting_angles,maximum_angle_spread,teacher_reference_real,teacher_reference_imag,absolute_reference_error
1,0.62097095098986,-5.82667218800206e-05,0.000116533443760041,0.05,0.05;0.10;0.15;0.20;0.25,1.83004847578501e-09,0.620970951,-5.8267e-05,2.78304773695313e-10
2,1.32719707232902,-0.0154473190932185,0.0308946381864371,0.05,0.05;0.10;0.15;0.20;0.25,1.72475397888995e-08,1.327197073,-0.015447319,6.77423927056576e-10
3,1.7845828680981,-0.173750709491781,0.347501418983562,0.10,0.10;0.15;0.20;0.25,1.17439350284924e-09,1.784582869,-0.17375071,1.0352360466446e-09
4,2.12442189106121,-0.564794979897378,1.12958995979476,0.20,0.20;0.25,3.29330352910682e-09,2.124421892,-0.564794982,2.30268312475275e-09
5,2.45548627567658,-1.11153156866151,2.22306313732302,0.25,0.25,0,2.455486272,-1.111531572,4.96616445574816e-09
